policy,S,M,N,F,i,u0,C1,C2,stage,feasible,message,p30,max_delay_ms,mean_delay_ms,unreachable_rate,reachable_count,sample_count,robustness_margin
strict_Tmax30,1640,40,41,32,50.25,0.0,0.999918,0.993388,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,34,50.25,2.195,0.99999,0.993376,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,32,50.25,2.195,0.999942,0.993358,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,34,49.75,2.195,0.999995,0.993341,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,32,50.25,4.39,0.999928,0.99334,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,34,49.75,6.585,1.0,0.993333,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,33,50.0,2.195,1.0,0.993202,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,33,50.0,0.0,1.0,0.993175,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,33,50.0,4.39,1.0,0.993153,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,33,50.0,6.585,1.0,0.993082,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,33,50.25,2.195,1.0,0.992653,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,33,50.25,0.0,1.0,0.992649,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,33,50.25,4.39,1.0,0.992569,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,33,50.25,6.585,1.0,0.992439,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,32,49.75,4.39,1.0,0.992297,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,32,49.75,0.0,0.999995,0.992241,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,33,49.75,0.0,1.0,0.992237,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,33,49.75,2.195,1.0,0.992153,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,32,49.75,2.195,0.99999,0.992135,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,33,49.75,6.585,1.0,0.992042,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,33,49.75,4.39,1.0,0.992,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,32,49.75,6.585,0.99999,0.991908,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,39,50.0,6.585,0.99977,0.991897,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,39,50.0,0.0,0.999761,0.991887,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,39,50.0,4.39,0.999765,0.991886,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,39,50.0,2.195,0.999785,0.991718,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,33,51.0,4.39,1.0,0.991074,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,33,51.0,6.585,1.0,0.991048,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,33,51.0,0.0,1.0,0.991045,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,33,51.0,2.195,1.0,0.990863,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,41,40,34,50.0,4.5,1.0,0.990483,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,41,40,34,50.0,6.75,1.0,0.990469,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,41,40,34,50.0,2.25,1.0,0.990449,delay_lower_bound_reject,,,,,,,,,
