t_s,u,v,load_gbps
59400.0,1358,1359,0.10606060606060602
59400.0,1320,1359,0.10606060606060602
59400.0,1322,1323,0.10606060606060602
59400.0,1437,1438,0.10606060606060602
59400.0,1320,1321,0.09090909090909088
59400.0,827,828,0.09090909090909088
59400.0,866,867,0.09090909090909088
59400.0,1438,1439,0.09090909090909088
59400.0,822,823,0.07575757575757575
59400.0,823,824,0.07575757575757575
60300.0,1352,1353,0.1363636363636363
60300.0,1353,1354,0.12121212121212116
60300.0,1356,1357,0.12121212121212116
60300.0,1357,1358,0.12121212121212116
60300.0,1280,1358,0.12121212121212116
60300.0,1242,1280,0.12121212121212116
60300.0,1354,1355,0.10606060606060602
60300.0,1355,1356,0.10606060606060602
60300.0,1126,1164,0.10606060606060602
60300.0,1469,1470,0.09090909090909088
61200.0,1346,1347,0.15151515151515144
61200.0,1347,1348,0.1363636363636363
61200.0,1348,1349,0.12121212121212116
61200.0,893,894,0.12121212121212116
61200.0,892,893,0.10606060606060602
61200.0,1120,1198,0.10606060606060602
61200.0,1271,1272,0.10606060606060602
61200.0,1349,1350,0.09090909090909088
61200.0,1350,1351,0.09090909090909088
61200.0,1351,1352,0.09090909090909088
62100.0,1378,1379,0.12121212121212116
62100.0,887,888,0.12121212121212116
62100.0,1382,1383,0.12121212121212116
62100.0,1379,1380,0.10606060606060602
62100.0,1380,1381,0.10606060606060602
62100.0,886,887,0.10606060606060602
62100.0,847,848,0.09090909090909088
62100.0,885,886,0.09090909090909088
62100.0,1383,1384,0.09090909090909088
62100.0,1385,1423,0.09090909090909088
63000.0,920,959,0.15151515151515144
63000.0,958,959,0.10606060606060602
63000.0,880,881,0.09090909090909088
63000.0,957,958,0.09090909090909088
63000.0,1372,1373,0.09090909090909088
63000.0,1373,1374,0.09090909090909088
63000.0,1374,1375,0.09090909090909088
63000.0,1376,1377,0.09090909090909088
63000.0,1033,1071,0.09090909090909088
63000.0,1071,1109,0.09090909090909088
63900.0,953,954,0.10606060606060602
63900.0,35,36,0.10606060606060602
63900.0,914,915,0.09090909090909088
63900.0,952,953,0.09090909090909088
63900.0,1405,1406,0.09090909090909088
63900.0,1406,1407,0.09090909090909088
63900.0,1409,1410,0.09090909090909088
63900.0,1410,1411,0.09090909090909088
63900.0,1219,1257,0.09090909090909088
63900.0,1027,1065,0.09090909090909088
64800.0,1400,1439,0.1363636363636363
64800.0,1403,1404,0.1363636363636363
64800.0,1400,1401,0.12121212121212116
64800.0,1401,1402,0.10606060606060602
64800.0,1402,1403,0.10606060606060602
64800.0,1404,1405,0.10606060606060602
64800.0,1405,1406,0.09090909090909088
64800.0,1406,1444,0.09090909090909088
64800.0,33,1444,0.09090909090909088
64800.0,33,71,0.09090909090909088
65700.0,1433,1434,0.15151515151515144
65700.0,1434,1435,0.1363636363636363
65700.0,980,981,0.1363636363636363
65700.0,1435,1436,0.12121212121212116
65700.0,979,980,0.12121212121212116
65700.0,1168,1206,0.10606060606060602
65700.0,978,979,0.10606060606060602
65700.0,1207,1245,0.10606060606060602
65700.0,1436,1437,0.09090909090909088
65700.0,1437,1438,0.09090909090909088
66600.0,1469,1470,0.1363636363636363
66600.0,1465,1466,0.12121212121212116
